city_cn,city_id,age
晋城市,1405,50.0
朔州市,1406,54.0
晋中市,1407,54.0
运城市,1408,55.0
忻州市,1409,53.0
吕梁市,1411,60.0
乌海市,1503,32.0
通辽市,1505,56.0
呼伦贝尔市,1507,58.0
巴彦淖尔市,1508,56.0
乌兰察布市,1509,56.0
兴安盟,1522,53.0
锡林郭勒盟,1525,58.0
阿拉善盟,1529,55.0
阜新市,2109,58.0
辽阳市,2110,54.0
铁岭市,2112,60.0
朝阳市,2113,55.0
四平市,2203,55.0
辽源市,2204,51.0
通化市,2205,58.0
白山市,2206,58.0
松原市,2207,56.0
白城市,2208,51.0
延边朝鲜族自治州,2224,57.0
鸡西市,2303,60.0
鹤岗市,2304,55.0
双鸭山市,2305,53.0
伊春市,2307,55.0
佳木斯市,2308,53.0
七台河市,2309,52.0
黑河市,2311,48.0
绥化市,2312,58.0
大兴安岭地区,2327,55.0
蚌埠市,3403,55.0
淮南市,3404,48.0
淮北市,3406,53.0
铜陵市,3407,58.0
安庆市,3408,54.0
黄山市,3410,52.0
滁州市,3411,54.0
阜阳市,3412,56.0
宿州市,3413,55.0
六安市,3415,52.0
亳州市,3416,53.0
池州市,3417,55.0
宣城市,3418,54.0
莆田市,3503,53.0
三明市,3504,57.0
漳州市,3506,55.0
南平市,3507,54.0
龙岩市,3508,57.0
宁德市,3509,57.0
景德镇市,3602,56.0
萍乡市,3603,50.0
新余市,3605,56.0
鹰潭市,3606,51.0
赣州市,3607,54.0
吉安市,3608,50.0
宜春市,3609,50.0
抚州市,3610,51.0
上饶市,3611,56.0
鹤壁市,4106,49.0
新乡市,4107,56.0
濮阳市,4109,51.0
许昌市,4110,55.0
漯河市,4111,60.0
南阳市,4113,54.0
商丘市,4114,56.0
信阳市,4115,57.0
周口市,4116,55.0
驻马店市,4117,53.0
黄石市,4202,50.0
十堰市,4203,55.0
襄阳市,4206,53.0
鄂州市,4207,55.0
荆门市,4208,52.0
孝感市,4209,48.0
黄冈市,4211,55.0
咸宁市,4212,46.0
随州市,4213,43.0
恩施土家族苗族自治州,4228,56.0
衡阳市,4304,47.0
邵阳市,4305,57.0
益阳市,4309,52.0
郴州市,4310,52.0
永州市,4311,58.0
怀化市,4312,55.0
娄底市,4313,55.0
湘西土家族苗族自治州,4331,48.0
梧州市,4504,54.0
防城港市,4506,52.0
钦州市,4507,49.0
贵港市,4508,56.0
玉林市,4509,55.0
百色市,4510,53.0
贺州市,4511,55.0
河池市,4512,56.0
来宾市,4513,57.0
崇左市,4514,47.0
