city_cn,city_id,name,start_date,end_date,sex,ethnic,birthdate,birthprovince,birthcity,birthcounty,educ,partydate
晋城市,1405,王清宪,2011-01-01,2013-02-01,男,汉族,1963-07-01,河北省,邯郸市,永年县,博士,  8/1/1986
晋城市,1405,刘润民,2013-02-01,2016-09-01,男,汉族,1968-11-01,山西省,吕梁市,临县,博士,  8/1/1987
晋城市,1405,王茂设,2007-12-01,2011-01-01,男,汉族,1957-08-01,山西省,临汾市,安泽县,硕士,  4/1/1982
晋城市,1405,刘锋,2017-12-01,2018-01-01,男,汉族,1964-08-01,湖南省,衡阳市,n/a,本科？,12/1/1985
晋城市,1405,武宏文,2016-09-01,2017-12-01,男,汉族,1962-08-01,山西省,孝义市,,大专,  1/1/1990
朔州市,1406,李正印,2012-01-01,2013-09-01,男,汉族,1962-08-01,山西省,长治市,武乡县,硕士,  6/1/1984
朔州市,1406,冯改朵,2008-02-01,2011-11-01,女,汉族,1957-08-01,山西省,运城市,稷山县,硕士,  9/1/1976
朔州市,1406,李海渊,2014-04-01,2016-07-01,男,汉族,1964-10-01,山西省,吕梁市,孝义市,本科,  4/1/1987
朔州市,1406,高键,2018-01-01,2018-01-01,男,汉族,1969-10-01,山西省,n/a,稷山县,硕士,1/1/1991
朔州市,1406,陈振亮,2017-05-01,2017-12-01,男,汉族,1963-08-01,山西省,n/a,寿阳县,博士,6/1/1984
朔州市,1406,刘志宏,2016-08-01,2017-05-01,男,汉族,1960-01-01,山西省,晋中市,,本科（？）,7/1/1978
晋中市,1407,吴清海,2011-04-01,2013-07-01,男,汉族,1962-11-01,陕西省,西安市,临潼区,本科,  3/1/1992
晋中市,1407,张璞,2007-05-01,2011-04-01,男,汉族,1956-09-01,山西省,临汾市,,硕士,  6/1/1976
晋中市,1407,胡玉亭,2013-07-01,2016-07-01,男,汉族,1964-07-01,山西省,忻州市,五台县,硕士,12/31/1899
晋中市,1407,赵建平,2018-02-01,2019-03-01,男,汉族,1969-06-02,山西省,忻州市,岢岚县,大专,11/1/1988
晋中市,1407,常书铭,2019-04-01,2018-01-01,男,汉族,1992-06-01,山西省,泽州市,,博士,3/1/1973
晋中市,1407,王成,2016-07-01,2018-01-01,男,汉族,1963-02-01,山西省,朔州市,,博士,1/1/1991
运城市,1408,王安庞,2008-02-01,2013-02-01,男,汉族,1958-05-01,山西省,长治市,长子县,硕士,  3/1/1978
运城市,1408,王清宪,2013-02-01,2016-05-01,男,汉族,1963-07-01,河北省,邯郸市,永年县,博士,  8/1/1986
运城市,1408,陈振亮,2016-05-01,2017-05-01,男,汉族,1963-08-01,山西省,n/a,寿阳县,博士,6/1/1984
运城市,1408,朱鹏,2017-05-01,2018-01-01,男,汉族,1968-03-01,湖北省,n/a,郧西县,硕士,5/1/1988
忻州市,1409,李平社,2008-01-01,2012-01-01,男,汉族,1955-12-01,山西省,晋城市,阳城县,硕士,  5/1/1978
忻州市,1409,郑连生,2012-01-01,2018-01-01,男,汉族,1965-04-01,山西省,长治市,潞城县,硕士,  2/1/1985
吕梁市,1411,丁雪峰,2012-01-01,2013-05-01,男,汉族,1963-09-01,山西省,大同市,左云县,硕士,  8/1/1986
吕梁市,1411,董岩,2014-02-01,2015-10-23,男,汉族,1958-03-01,黑龙江省,哈尔滨市,宾县,硕士, 12/1/1976
吕梁市,1411,张九萍,2009-03-01,2012-01-01,女,汉族,1963-04-01,山西省,晋中市,祁县,硕士,  5/1/1985
吕梁市,1411,王立伟,2015-12-01,2018-01-01,男,汉族,1963-01-01,山西省,,定襄县,本科,8/1/1984
乌海市,1503,艾丽华,2015-01-01,2016-04-01,女,蒙古族,1986-06-01,内蒙古自治区,赤峰市,翁牛特旗,本科,  6/1/1986
