city_cn,city_id,year,month,day,wsmean,wsmax,wdmax,pre,tem_mean
晋城,1405,2010,1,1,0.7,1.8,15.0,0.0,-2.0
晋城,1405,2010,1,2,0.7,3.6,7.0,0.0,1.2
晋城,1405,2010,1,3,1.2,4.6,6.0,0.0,-3.2
晋城,1405,2010,1,4,3.3,6.7,14.0,0.0,-1.4
晋城,1405,2010,1,5,2.3,4.2,6.0,0.0,-7.2
晋城,1405,2010,1,6,1.2,3.5,7.0,0.0,-7.8
晋城,1405,2010,1,7,0.5,1.8,6.0,0.0,-7.9
晋城,1405,2010,1,8,0.7,2.5,7.0,0.0,-7.4
晋城,1405,2010,1,9,0.7,3.3,7.0,0.0,-5.4
晋城,1405,2010,1,10,0.8,2.2,7.0,0.0,-4.0
晋城,1405,2010,1,11,2.7,7.6,14.0,0.0,-0.9
晋城,1405,2010,1,12,2.8,10.0,14.0,0.0,-5.3
晋城,1405,2010,1,13,2.2,6.1,14.0,0.0,-5.2
晋城,1405,2010,1,14,1.5,6.1,14.0,0.0,-3.0
晋城,1405,2010,1,15,1.5,4.1,7.0,0.0,-2.1
晋城,1405,2010,1,16,1.0,1.5,12.0,0.0,-3.9
晋城,1405,2010,1,17,1.0,2.1,13.0,0.0,-0.7
晋城,1405,2010,1,18,1.2,6.9,7.0,0.0,0.5
晋城,1405,2010,1,19,0.8,3.6,7.0,0.1,4.1
晋城,1405,2010,1,20,1.0,3.9,15.0,0.1,3.5
晋城,1405,2010,1,21,1.2,3.8,7.0,0.1,-1.3
晋城,1405,2010,1,22,4.1,8.7,14.0,0.0,-2.3
晋城,1405,2010,1,23,1.0,2.1,13.0,0.0,-4.8
晋城,1405,2010,1,24,3.0,6.7,14.0,0.0,-1.1
晋城,1405,2010,1,25,2.7,6.5,14.0,0.0,-0.4
晋城,1405,2010,1,26,1.1,5.3,7.0,0.0,-2.1
晋城,1405,2010,1,27,2.1,5.2,14.0,0.0,3.9
晋城,1405,2010,1,28,1.2,5.2,15.0,0.0,2.8
晋城,1405,2010,1,29,1.0,5.2,14.0,0.0,2.4
晋城,1405,2010,1,30,3.1,5.6,15.0,0.0,4.1
晋城,1405,2010,1,31,1.7,5.1,8.0,0.0,2.1
晋城,1405,2010,2,1,1.1,4.7,14.0,0.0,-0.4
晋城,1405,2010,2,2,0.7,3.4,7.0,0.0,-0.1
晋城,1405,2010,2,3,0.6,2.6,7.0,0.0,-1.6
晋城,1405,2010,2,4,0.9,3.8,6.0,0.0,-1.1
晋城,1405,2010,2,5,1.9,5.3,7.0,0.0,-1.4
晋城,1405,2010,2,6,2.0,3.7,7.0,1.0,-0.9
晋城,1405,2010,2,7,1.4,3.6,7.0,0.0,0.1
晋城,1405,2010,2,8,1.4,2.4,6.0,0.0,1.6
晋城,1405,2010,2,9,0.8,3.2,7.0,1.5,1.0
晋城,1405,2010,2,10,0.4,2.7,2.0,6.2,-2.2
晋城,1405,2010,2,11,1.1,2.3,14.0,1.7,-4.2
晋城,1405,2010,2,12,0.8,2.2,6.0,0.0,-3.5
晋城,1405,2010,2,13,1.2,4.4,7.0,0.0,-3.5
晋城,1405,2010,2,14,1.2,5.1,7.0,0.3,-1.0
晋城,1405,2010,2,15,1.6,3.5,7.0,0.0,-2.8
晋城,1405,2010,2,16,1.3,4.2,15.0,0.0,-2.0
晋城,1405,2010,2,17,4.5,8.4,14.0,0.0,-1.8
晋城,1405,2010,2,18,3.0,7.6,14.0,0.0,-1.0
晋城,1405,2010,2,19,0.9,4.3,15.0,0.0,0.9
晋城,1405,2010,2,20,1.0,2.5,14.0,0.0,3.2
晋城,1405,2010,2,21,0.4,3.3,7.0,0.0,6.2
晋城,1405,2010,2,22,0.8,3.6,7.0,0.0,7.2
晋城,1405,2010,2,23,1.2,6.6,7.0,0.0,7.8
晋城,1405,2010,2,24,0.7,2.2,6.0,0.0,8.5
晋城,1405,2010,2,25,1.4,5.8,6.0,0.0,9.3
晋城,1405,2010,2,26,2.6,7.2,7.0,0.0,5.9
晋城,1405,2010,2,27,2.8,8.3,7.0,0.0,4.9
晋城,1405,2010,2,28,1.6,3.8,7.0,3.3,3.3
晋城,1405,2010,3,1,2.6,4.5,7.0,0.0,1.0
晋城,1405,2010,3,2,1.5,6.8,8.0,0.0,4.2
晋城,1405,2010,3,3,1.3,3.6,9.0,0.6,3.0
晋城,1405,2010,3,4,1.7,4.7,14.0,0.0,4.0
晋城,1405,2010,3,5,2.4,4.1,8.0,0.0,2.8
晋城,1405,2010,3,6,2.1,4.6,6.0,2.0,-1.5
晋城,1405,2010,3,7,4.7,6.4,9.0,0.0,-0.9
晋城,1405,2010,3,8,2.6,6.1,14.0,0.0,-0.6
晋城,1405,2010,3,9,4.4,8.7,14.0,0.0,-2.8
晋城,1405,2010,3,10,0.9,7.3,14.0,0.0,1.4
晋城,1405,2010,3,11,0.8,2.4,15.0,0.0,5.0
晋城,1405,2010,3,12,2.1,7.3,7.0,0.0,9.3
晋城,1405,2010,3,13,2.5,4.6,8.0,0.0,8.3
晋城,1405,2010,3,14,1.6,6.0,15.0,0.4,6.0
晋城,1405,2010,3,15,3.5,7.5,14.0,0.0,6.2
晋城,1405,2010,3,16,0.8,4.3,6.0,0.0,5.6
晋城,1405,2010,3,17,3.3,7.7,7.0,0.0,9.2
晋城,1405,2010,3,18,1.3,6.3,7.0,0.0,5.9
晋城,1405,2010,3,19,0.7,7.2,14.0,0.0,12.2
晋城,1405,2010,3,20,6.5,12.0,15.0,0.0,10.4
晋城,1405,2010,3,21,2.2,6.3,7.0,0.0,6.8
晋城,1405,2010,3,22,1.6,7.4,14.0,0.0,9.4
晋城,1405,2010,3,23,2.7,5.5,9.0,0.0,8.3
晋城,1405,2010,3,24,2.7,5.9,15.0,0.0,7.7
晋城,1405,2010,3,25,4.2,8.6,15.0,0.0,6.2
晋城,1405,2010,3,26,0.7,5.1,15.0,0.0,5.8
晋城,1405,2010,3,27,2.5,6.8,13.0,0.0,11.1
晋城,1405,2010,3,28,2.1,7.1,8.0,0.0,8.7
晋城,1405,2010,3,29,2.5,4.9,8.0,0.3,9.4
