title,team,replicator_team,computational_reproduction,perfect_reproduction,not_perfect_reproduction,comments
"Antinormative Messaging, Group Cues, and the Nuclear Ban Treaty",First,1,1,Yes,0,"""We do not find any coding errors that undermine the authors' analysis or conclusions""; Replicators noted missing observations were a combination of ""NA"" and 95."
"Ascriptive Characteristics and Perceptions of Impropriety in the Rule of Law: Race, Gender, and Public Assessments of Whether Judges Can Be Impartial",First,2,1,Yes,0,Perfect Reproduction
Assortative Matching at the Top of the Distribution: Evidence from the World's Most Exclusive Marriage Market,First,3,1,Yes,0,Perfect Reproduction
Black Workers in White Places: Daytime Racial Diversity and White Public Opinion,First,4,1,Yes,0,Perfect Reproduction
"Brahmin Left Versus Merchant Right: Changing Political Cleavages in 21 Western Democracies, 1948–2020",First,5,1,No,1,"Minor coding error: one of the do-files (results-all-1-region.do) did not run correctly but stopped for Belgium (BE) with the error code “convergence not achieved”. When excluding Belgium from that do-file, we were able to run all codes from beginning to end. This did not change the results. Hence, the results were reproducible."
"Bubbles, Crashes, and Economic Growth: Theory and Evidence",First,6,1,No,1,Minor coding error when generating Figure 1.
Campaign Contributions and Roll-Call Voting in the U.S. House of Representatives: The Case of the Sugar Industry,First,7,1,Yes,0,Perfect Reproduction
Can Information Reduce Ethnic Discrimination? Evidence from Airbnb,First,8,1,No,1,"Third-decimal place discrepancies for Tables 1, 2, and 5. Replicators translate Stata code to R."
Can Technology Solve the Principal-Agent Problem? Evidence from China's War on Air Pollution,First,9,1,Yes,0,"Succeeded in computational reproducibility and direct replication of key results. However, they fail to replicate the weather variables used in the original study (i.e., rebuilding the data set)."
Can't We All Just Get Along? How Women MPs Can Ameliorate Affective Polarization in Western Publics,First,10,1,Yes,0,"One file pathway needed to be adjusted, but otherwise everything ran."
Changing Hearts and Minds? Why Media Messages Designed to Foster Empathy Often Fail,First,11,0,No,1,The replication packages difficult to understand. Many variables were not correctly labelled making it difficult to reproduce the analysis. 
Changing Tides: Public Attitudes on Climate Migration,First,12,1,Yes,0,Perfect Reproduction
Checking and Sharing Alt-Facts,First,13,1,No,0,No coding error: not perfect using stata 17 but perfect with stata 16
Child Marriage Bans and Female Schooling and Labor Market Outcomes: Evidence from Natural Experiments in 17 Low- and Middle-Income Countries,First,14,1,Yes,0,Perfect Reproduction
Concentration Bias in Intertemporal Choice,First,15,1,Yes,0,Perfect Reproduction
Cooperative Property Rights and Development: Evidence from Land Reform in El Salvador,First,16,0,No,1,This paper published as a comment in the JPE due to a coding error. A subset of the replicators on this report found errors where the original authors did not delete duplicates. 
Decentralization Can Increase Cooperation Among Public Officials,First,17,1,Yes,0,Perfect Reproduction
Declining Worker Turnover: The Role of Short-Duration Employment Spells,First,18,1,Yes,0,Perfect Reproduction
Digital Addiction,First,19,1,No,1,"For a small number of observations, the aggregated dependent variable does not equal the sum of the disaggregated categories"
Do Thank-You Calls Increase Charitable Giving? Expert Forecasts and Field Experimental Evidence,First,20,1,No,1,Small Coding Errors. An average was taken over an ordinal categorical variable. Replicators chose to take the minimum value of the categorical variable. The discrepancy changes very few observations and none of the results.
Do Transitional Justice Museums Persuade Visitors? Evidence from a Field Experiment,First,21,1,No,0,"Our reproduction of the main findings was largely successful, though we did encounter one coding error on one line of code. When attempting to reproduce Figure 2: Transitional Justice Treatment Effects, the line of the R code “for (i in 22:34){results.df.tj$Variable[i] <- ""pardoned""}” produced an error. The error stated, “replacement has 25 rows, data has 24.” However, the remaining code for that figure ran without any problems and created Figure 2.  Aside from the one error, the code replicated the graphs perfectly. There were no differences between the replicated graphs and the graphs shown in the original article."
Does Competence Make Citizens Tolerate Undemocratic Behavior?,First,22,1,Yes,0,Perfect Reproduction
Does Patient Demand Contribute to the Overuse of Prescription Drugs?,First,23,0,Yes,0,Perfect Reproduction
Does Public Opinion Affect the Preferences of Foreign Policy Leaders? Experimental Evidence from the UK Parliament,First,24,1,Yes,0,0
Effective for Whom? Ethnic Identity and Nonviolent Resistance,First,25,1,No,1,Needed to change code to include correct controls to reproduce original images/tables
Enabling or Limiting Cognitive Flexibility? Evidence of Demand for Moral Commitment,First,26,1,Yes,0,"Although a perfect reproduction, the replicators found their main variable of interest was incorrectly coded."
Entertaining Beliefs in Economic Mobility,First,27,1,Yes,0,Did not include raw data
Evaluating Deliberative Competence: A Simple Method with an Application to Financial Choice,First,28,1,Yes,0,"The replicators suggest they were able to computationally reproduce parts of the paper. However, they note that one measure was incorrectly computer. "
Exposure and Preferences: Evidence from Indian Slums,First,29,1,Yes,0,They wanted to conduct robustness checks but author did not answer any email
Finance and Green Growth,First,30,1,No,1,"Multiple coding errors that change the magnitude and precision of the coefficients of interest, primarily surroudning which standard errors are used"
Flight to Safety: COVID-Induced Changes in the Intensity of Status Quo Preference and Voting Behavior,First,31,1,Yes,0,Perfect Reproduction
Gender Differences in Cooperative Environments? Evidence from the U.S. Congress,First,32,1,Yes,0,A perfect reproduction with original code was successful. Control variables on population density and household income seem to be incorrect. Replicators replaced these variables with equivalents. Median income goes from 29265 (original) to 37124 (replicator); population density from 1746 (original) to 2827 (replicator).
Good Reverberations? Teacher Influence in Music Composition since 1450,First,33,1,No,1,"Three bigger issues. No documentation describing datasets, making variable names hard to understand. Second, variables in the analysis dataset are not found in the raw data. Third, cleaning files are omitted from the pacakges. Replicators were unable to reproduce tempo and key signatures found in the analysis dataset. The standardization of the outcome variable is not explained and the replicators could not exactly reproduce it. There was no code for tables in Appendix E.6 nor the variables in these tables on class and wealth."
Hate Crimes and Gender Imbalances: Fears over Mate Competition and Violence against Refugees,First,34,1,Yes,0,Perfect Reproduction
Historical Lynchings and the Contemporary Voting Behavior of Blacks,First,35,1,Yes,0,Perfect Reproduction
Hobo Economicus,First,36,1,No,1,"Table 4 incorrectly labels 'within metro stations' when it should be 'across' metro stations, and vice versa. Robustness checks in footenotes 16 and 17 are not created using the replication package."
How Do Beliefs about the Gender Wage Gap Affect the Demand for Public Policy?,First,37,1,Yes,0,Perfect Reproduction
How Effective Are Monetary Incentives to Vote? Evidence from a Nationwide Policy,First,38,1,Yes,0,Perfect Reproduction
How Much Should We Trust the Dictator’s GDP Growth Estimates?,First,39,0,No,1,There was no attempt for computational reproduction. I4R website does not suggest it was computationally reproduced elsewhere.
