title,field,journal,year,language,links
"A Systematic Review and Meta-Analysis of 90 Cohort Studies of Social Isolation, Loneliness and Mortality","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/fknmp/, https://econpapers.repec.org/paper/zbwi4rdps/169.htm, https://doi.org/10.6084/m9.figshare.27069094.v1"
"A Systematic Review and Meta-Analysis of the Relationship Between Economic Inequality and Prosocial Behaviour","Psychological Science","Nature Human Behaviour","2025","","https://osf.io/vzpu2/"
"A systematic review of psychosocial functioning changes after gender-affirming hormone therapy among transgender people","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/aq8e2/, https://osf.io/preprints/osf/vyxrn"
"A Systematic Review of Worldwide Causal and Correlational Evidence on Digital Media and Democracy","Psychological Science","Nature Human Behaviour","2025","","https://osf.io/rku53/, https://ideas.repec.org/p/zbw/i4rdps/206.html"
"An umbrella review of randomized control trials on the effects of physical exercise on cognition","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/twmh9/"
"An experimental manipulation of the value of effort","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/twmh9/"
"An Umbrella Review of the Benefits and Risks Associated with Youths’ Interactions with Electronic Screens","Psychological Science","Nature Human Behaviour","2024","","https://osf.io/9y47b/"
"Anchored Inflation Expectations","Economics","AEJ: Macro","2024","","https://osf.io/v7jtq/, https://econpapers.repec.org/paper/zbwi4rdps/174.htm"
"Antinormative Messaging, Group Cues, and the Nuclear Ban Treaty","Political Science","JOP","2024","","https://osf.io/xbvzg/, https://econpapers.repec.org/paper/zbwi4rdps/97.htm, https://econpapers.repec.org/paper/zbwi4rdps/98.htm, https://dataverse.harvard.edu/dataset.xhtml;jsessionid=5bc4beb0bd5aef9d7a5ba5284fc6?persistentId=doi%3A10.7910%2FDVN%2FGLT4FX&version=&q=&fileTypeGroupFacet=%22Text%22&fileAccess=&fileSortField=size"
"Ascriptive characteristics and perceptions of impropriety in the rule of law: Race, gender, and public assessments of whether judges can be impartial","Political Science","AJPS","2024","","https://osf.io/yf48r/, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ZHOL6Y"
"Assortative Matching at the Top of the Distribution: Evidence from the World's Most Exclusive Marriage Market","Economics","AEJ: Applied","2024","","https://osf.io/pqsem/, https://econpapers.repec.org/paper/zbwi4rdps/47.htm, https://www.openicpsr.org/openicpsr/project/140921/version/V1/view"
"Bayesianism and wishful thinking are compatible","Psychological Science","Nature Human Behaviour","2025","","https://osf.io/zt7wy/, https://www.econstor.eu/bitstream/10419/309441/1/I4R-DP198.pdf"
"Black Workers in White Places: Daytime Racial Diversity and White Public Opinion","Political Science","JOP","2024","","https://osf.io/5stb7/, https://econpapers.repec.org/paper/zbwi4rdps/61.htm, https://osf.io/ue4pm/, https://dataverse.harvard.edu/dataset.xhtml;jsessionid=da88db7b3367419a2d1a87a9e687?persistentId=doi%3A10.7910%2FDVN%2FFMOR6K&version=&q=&fileTypeGroupFacet=&fileAccess=&fileSortField=type"
"Brahmin Left versus Merchant Right","Economics","QJE","2024","","https://osf.io/2hpeq/, https://econpapers.repec.org/paper/zbwi4rdps/19.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/XUSWG6"
"Bubbles, Crashes, and Economic Growth: Theory and Evidence","Economics","AEJ: Macro","2024","","https://osf.io/d76tn/, https://www.openicpsr.org/openicpsr/project/173441/version/V"
"Building Nations through Shared Experiences: Evidence from African Football","Economics","AER","2024","","https://osf.io/gj7v3/, https://www.aeaweb.org/articles?id=10.1257/aer.20180805"
"Campaign Contributions and Roll-Call Voting in the U.S. House of Representatives: The Case of the Sugar Industry","Political Science","APSR","2024","","https://osf.io/4hjb9/, https://econpapers.repec.org/paper/zbwi4rdps/57.htm, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IFZR9"
"Can Information Reduce Ethnic Discrimination? Evidence from Airbnb","Economics","AEJ: Applied","2024","","https://osf.io/zn98a/, https://github.com/TuanNguyen04/Replication_Airbnb, https://www.openicpsr.org/openicpsr/project/120078/version/V"
"Can Technology Solve the Principal-Agent Problem? Evidence from China's War on Air Pollution","Economics","AER","2024","","https://osf.io/b7dn2/, https://osf.io/m8hfr/?view_only=9f6632ec96c0451daf0f8889b9ad2b25, https://www.openicpsr.org/openicpsr/project/125321/version/V1/view"
"Can't We All Just Get Along? How Women MPs Can Ameliorate Affective Polarization in Western Publics","Political Science","APSR","2024","","https://osf.io/yur5j/, https://osf.io/69px3/, https://osf.io/69px3/, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/AHQRVR"
"Changing Tides: Public Attitudes on Climate Migration","Political Science","JOP","2024","","https://osf.io/2vrxw/, https://www.socialsciencereproduction.org/reproductions/791/published/index, https://github.com/alexkustov/Replication-of-Arias-and-Blair-2021, https://dataverse.harvard.edu/dataset.xhtml;jsessionid=e19065118"
