title,field,journal,year,language,links
"Immigration and Redistribution","Economics","Restud","2024","","https://osf.io/ajm9g/, https://econpapers.repec.org/paper/zbwi4rdps/40.htm, https://zenodo.org/records/5997521"
"Improving Women’s Mental Health During a Pandemic","Economics","AEJ: Applied","2025","","https://osf.io/pvkhy/"
"Improving Workplace Climate in Large Corporations: A Clustered Randomized Intervention","Economics","QJE","2024","","https://osf.io/txqjw/"
"Inflammatory Political Campaigns and Racial Bias in Policing","Economics","QJE","2023","","https://osf.io/xadb6/, https://osf.io/c7j58/"
"Indecent Disclosures: Anticorruption Reforms and Political Selection","Political Science","AJPS","2023","","https://osf.io/gx4d6/, https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi"
"Influence Motives in Social Signaling: Evidence from COVID-19 Vaccinations in Germany","Economics","AER: Insights","2024","","https://osf.io/bn65z/"
"Information and Spillovers from Targeting Policy in Peru's Anchoveta Fishery","Economics","AEJ: Policy","2024","","https://osf.io/5uz6d/, https://www.econstor.eu/bitstream/10419/302900/1/I4R-DP156.pdf"
"Informed Enforcement: Lessons from Pollution Monitoring in China","Economics","AEJ: Applied","2024","","https://osf.io/wb5x6/, https://www.dropbox.com/scl/fi/du4x71nszj9209622rpoe/Replication-Axbard-Deng.zip?rlkey=s5x2pxwnhsb9mkomyhekkxz76&st=6n3abozl&dl=0"
"Interaction, Stereotypes, and Performance: Evidence from South Africa","Economics","AER","","",""
"Interventions and Cognitive Spillovers","Economics","Restud","2024","","https://osf.io/qgbd2/, https://www.econstor.eu/bitstream/10419/272845/1/I4R-DP043.pdf, https://osf.io/kugbs/, https://zenodo.org/records/5652808"
"Intrinsic Information Preferences and Skewness","Economics","AER","2024","","https://osf.io/5d4q9/, https://www.econstor.eu/bitstream/10419/303902/1/I4R-DP164.pdf"
"Jumping the Gun: How Dictators Got Ahead of Their Subjects","Economics","EJ","2024","","https://osf.io/4cx86/, https://econpapers.repec.org/paper/zbwi4rdps/50.htm, https://zenodo.org/records/7077694"
"Liquidity Constraints in the U.S. Housing Market","Economics","Restud","2024","","https://osf.io/vydax/"
"Local Elites as State Capacity: How City Chiefs Use Local Information to Increase Tax Compliance in the Democratic Republic of the Congo","Economics","AER","","",""
"Long-Term Effects of the Targeting the Ultra Poor Program","Economics","AER: Insights","2024","","https://osf.io/bq9vw/, https://academic.oup.com/qje/article-abstract/137/2/785/6455333?login=false, https://www.aeaweb.org/articles?id=10.1257/aeri.20230156"
"Major Reforms in Electricity Pricing: Evidence from a Quasi-Experiment","Economics","EJ","2024","","https://osf.io/bysa7/"
"Market-based monetary policy uncertainty","Economics","EJ","2024","","https://osf.io/qx8aw/, https://econpapers.repec.org/paper/zbwi4rdps/77.htm, https://econpapers.repec.org/paper/zbwi4rdps/76.htm, https://github.com/YaolangZhong/Nottingham"
"Market Access and Quality Upgrading: Evidence from Four Field Experiments","Economics","AER","2024","","https://osf.io/c4w7k/, https://econpapers.repec.org/paper/zbwi4rdps/72.htm, https://journaldata.zbw.eu/dataset/bold-et-al-american-economic-review-2022, https://www.openicpsr.org/openicpsr/project/158401/version/V"
"Measuring Monetary Policy in the Euro Area Using SVARs with Residual Restrictions","Economics","AE: Macro","2024","","https://osf.io/39vkb/, https://www.econstor.eu/bitstream/10419/303192/1/I4R-DP160.pdf"
"Measuring the Welfare Effects of Shame and Pride","Economics","AER: Insights","2024","","https://osf.io/swtq7/, https://econpapers.repec.org/paper/zbwi4rdps/64.htm, https://github.com/tilmanfries/welfare-shame-pride-replication-report, https://www.openicpsr.org/openicpsr/project/145141/version/V1/view"
